Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Kendleton,Texas,US-TX,29.447872,-95.999806,1860s,1860-1869,Yes,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",
Little Egypt,Texas,US-TX,32.86583,-96.711955,1865,1860-1869,No,No,N/A,"Maxwell, L. C. (2010, June 15). LITTLE EGYPT, TX. Handbook of Texas Online.","Zeeble, B. (2019, February 19). 'Little Egypt,' A Nearly-Lost Freedmen's Town In Dallas, Resurfaces Thanks To College's Digging.",
Mill City,Texas,US-TX,32.7753618,-96.7382089,1901,1900-1909,Yes,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Garrett-Scott, S. (2012). ""The Hope of the South"": The New Century Cotton Mill of Dallas, Texas, and the Business of Race in the New South, 1902–1907. The Southwestern Historical Quarterly, 116(2), 139-166. Retrieved June 11, 2021, from http://www.jstor.org/stable/24388316; https://www.tshaonline.org/handbook/entries/new-century-cotton-mill#:~:text=The%20New%20Century%20Cotton%20Mill,real%20estate%20investor%20Joseph%20E."
Moore Station,Texas,US-TX,32.187222,-95.563056,1876,1870-1879,Yes,Yes,N/A,"Reif, A. M. (2010, June 15). MOORE STATION, TX. Handbook of Texas Online.",,
Neylandville,Texas,US-TX,33.202797,-96.00263,1880,1880-1889,Yes,Yes,1970,"Williams, D. A. (2010, June 15). NEYLANDVILLE, TX. Handbook of Texas Online.",,
Oldham,Texas,US-TX,30.568056,-96.5875,N/A,1877-1915,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",https://www.tshaonline.org/handbook/entries/arnold-hendrick
Peyton (Boardhouse),Texas,US-TX,30.11384,-98.305308,1865,1860-1869,Unsure,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Massey, S. (2007 Nov 07). Peyton Colony, Texas (1865-). Black Past. https://www.blackpast.org/african-american-history/peyton-colony-boardhouse-texas/; https://legacy.lib.utexas.edu/taro/utsa/00400/00400-P.html; https://www.tshaonline.org/handbook/entries/peyton-tx-blanco-county"
Roberts (Quinlan),Texas,US-TX,32.879224,-96.100019,N/A,1877-1915,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",https://www.tshaonline.org/handbook/entries/quinlan-tx
Saint Johns Colony (Winn's Colony),Texas,US-TX,29.971111,-97.558333,1870s,1870-1879,Yes,No,N/A,"Smyrl, V. E. (2010, June 15). ST. JOHN COLONY, TX. Handbook of Texas Online.",,
Shankleville,Texas,US-TX,30.970278,-93.706944,1867,1860-1869,Yes,No,N/A,"Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Wooster, R. (2010, June 15). SHANKLEVILLE, TX. Handbook of Texas Online.",
Tamina,Texas,US-TX,30.178362,-95.441691,1871,1870-1879,Yes,No,N/A,"Branch, W. (2010, June 15). TAMINA, TX. Handbook of Texas Online.",https://www.houstonchronicle.com/neighborhood/woodlands/news/article/In-shadow-of-The-Woodlands-Tamina-community-6576015.php,https://www.motherjones.com/media/2016/06/tamina-texas-photo-marti-corn/
Tenth Street Historic District,Texas,US-TX,32.75116,-96.806097,1865,1860-1869,Yes,No,N/A,City of Dallas. Historic Preservation.,,
Union City (Union Valley),Texas,US-TX,29.318468,-97.839199,N/A,1877-1915,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",
Freedman's Village,Virginia,US-VA,38.868907,-77.06077,1863,1860-1869,No,No,N/A,"Liebertz, John Paul. A guide to the African American heritage of Arlington County, Virginia. Arlington, Va : Dept. of Community Planning, Housing and Development, Historic Preservation, 2016; ","Kenney, T. (2019, February 16). 10 Thriving Black Towns You Didn't Learn About in History Class. Atlanta Black Star.; Sanders, B. (2017, January 12). History's Lost Black Towns. The Root.",https://library.arlingtonva.us/2018/01/31/from-freedmans-village-to-queen-city-one-communitys-evolution/
Pocahontas Island,Virginia,US-VA,37.23736,-77.39982,1752,1750-1759,Yes,No,N/A,"""One man's quest to preserve the haunting black history of Pocahontas Island"". Washington Post.",,
Titustown,Virginia,US-VA,36.915701,-76.293973,1911,1910-1919,Yes,No,N/A,BLACK TOWNS VIRGINIA,Hanbury Evans Newill Vlattas & Company. (1997). Historic Architectural Survey of the City of Norfolk.,"Armstrong, J. (2009 Sep 28). What's in a name? Titustown in Norfolk. The Virginia Pilot. Retrieved from https://www.pilotonline.com/history/article_ebd685ca-9b9f-5de1-8216-833c71c2bfde.html"
Truxton,Virginia,US-VA,36.81559,-76.326901,1919,1910-1919,Yes,No,N/A,BLACK TOWNS VIRGINIA,"Feber, E. (2019, July 26). Portsmouth's historic Truxtun community turns 100.",http://web.mit.edu/ebj/www/ww1/Truxtun.html
Bush Prairie (Tumwater),Washington,US-WA,47.007236,-122.909384,1845,1840-1849,No,No,N/A,https://www.soulofamerica.com/black-towns/washington/,http://www.bushprairiefarm.com/bush-farm-history.html,Painting Series by Jacob Lawrence - https://www.realchangenews.org/news/2018/11/07/narrative-pioneer-jacob-lawrence-tells-story-george-bush
Centerville (Centralia),Washington,US-WA,46.720556,-122.961389,1853,1850-1859,Yes,Yes,1875,,,
Institute,West Virginia,US-WV,38.383611,-81.765278,1870,1870-1879,Yes,No,N/A,BLACK TOWNS WEST VIRGINIA,"West Virginia Department of Arts, Culture and History. A Timeline of African-American History in West Virginia.",
Tinkersville,West Virginia,US-WV,38.31389,-81.55194,1865,1860-1869,No,No,N/A,BLACK TOWNS WEST VIRGINIA,Booker T. Washington and West Virginia (including Tinkersville) - http://www.wvculture.org/history/journal_wvh/wvh32-1.html,
Cheyenne Valley,Wisconsin,US-WI,43.6867,-90.565217,1855,1850-1859,No,No,N/A,BLACK TOWNS WISCONSIN; https://www.wisconsinhistory.org/Records/Article/CS502,"https://www.rvschools.org/faculty/jhollenberger/history/settlers/page1-5.htm#:~:text=The%20first%20permanent%20settler%20in,followed%20Stewart's%20migration%20to%20Wisconsin.",
Stantonville (Chilton),Wisconsin,US-WI,44.030833,-88.158611,1845,1840-1849,No,No,N/A,"Snodgrass, M. E. (2018). Frontier Women and Their Art
A Chronological Encyclopedia. (Catherine Ross Stanton and Chilton on page 54)",BLACK TOWNS WISCONSIN; https://www.wpr.org/professor-shares-african-american-history-northeastern-wisconsin,https://www.calumetcountyhistoricalsociety.org/Muralsupport/CHILTON%20HISTORICAL%20MURAL%20AND%20BIOGRAPHIES%20%281%29.pdf
Pleasant Ridge (Grant County),Wisconsin,US-WI,43.054722,-90.073333,1850,1850-1859,No,No,N/A,https://digicoll.library.wisc.edu/cgi-bin/WI/WI-idx?id=WI.Shepard3a,BLACK TOWNS WISCONSIN,https://www.wisconsinhistory.org/Records/Article/CS1576
Empire,Wyoming,US-WY,41.998706,-104.04728,1908,1900-1909,No,No,N/A,"""Todd Guenther, “The Empire Builders, An African American Odyssey in Nebraska and Wyoming,”
Nebraska History 89 (2008): 176-200.  https://history.nebraska.gov/sites/history.nebraska.gov/files/doc/publications/NH2008Empire_Builders.pdf """,https://www.nps.gov/places/empire-wyoming.htm;  https://www.wyomingpublicmedia.org/post/museum-exhibit-tells-story-wyomings-only-all-black-town#stream/0,https://www.wyohistory.org/encyclopedia/making-home-empire-wyo;  https://www.blackpast.org/african-american-history/empire-wyoming-1908-1930/
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
